PROJECT	DDE_NUM	DDE_TYPE	DATE_PRET	DATE_VERIFIE	DELAI	DDE_STATUT	DATE_LAST_UPDATE
BOA	BOA-1195	Story	2016-09-20 07:51:32	2016-11-08 09:13:41	49	Testé	2017-02-10 13:38:04
EXTR	EXTR-280	Bogue	2016-10-05 13:20:56	2017-02-13 13:47:39	131	Vérifié	2017-02-22 14:09:44
WEB	WEB-224	Story	NULL	NULL	NULL	Nouveau	2016-12-20 10:10:35
WEB	WEB-225	Story	NULL	NULL	NULL	Nouveau	2016-12-20 10:10:35
EXTR	EXTR-597	Story	2016-09-15 15:49:51	2016-10-03 16:13:26	18	Fermé	2016-11-15 14:05:11
BEA	BEA-1059	Story	NULL	NULL	NULL	Nouveau	2016-09-09 11:05:15
BEA	BEA-72	Story	NULL	NULL	NULL	Vérifié	2016-12-19 10:41:09
BEA	BEA-354	Story	NULL	NULL	NULL	Fermé	2016-11-15 14:05:17
BOA	BOA-1196	Bogue	2016-10-03 11:45:25	NULL	NULL	Fermé	2016-11-29 09:21:23
BEA	BEA-1060	Bogue	NULL	NULL	NULL	Fermé	2016-10-20 10:28:43
EXTR	EXTR-24	Bogue	2016-10-05 09:05:11	NULL	NULL	En Affinage	2016-12-15 09:49:59
EXTR	EXTR-281	Story	NULL	NULL	NULL	En Affinage	2017-02-15 08:58:07
EXTR	EXTR-598	Story	NULL	NULL	NULL	En Affinage	2016-11-09 16:26:27
EXTR	EXTR-599	Story	2016-10-05 15:43:49	NULL	NULL	En Affinage	2017-02-15 08:58:06
SYR	SYR-74	Story	NULL	NULL	NULL	Nouveau	2016-09-09 11:10:59
BEA	BEA-1061	Story	NULL	NULL	NULL	En Affinage	2017-02-09 20:19:04
BEA	BEA-1062	Bogue	NULL	NULL	NULL	Fermé	2016-11-15 14:05:16
BEA	BEA-1063	Story	NULL	NULL	NULL	Fermé	2016-09-09 11:04:22
BEA	BEA-1064	Story	2016-10-11 15:42:37	2016-10-18 09:03:37	7	Fermé	2016-10-18 09:03:57
BOA	BOA-1197	Story	NULL	NULL	NULL	Nouveau	2016-09-09 11:07:57
BOA	BOA-1198	Story	2016-11-15 14:33:01	2016-12-28 16:32:24	43	Testé	2016-12-29 11:02:41
BEA	BEA-1065	Bogue	NULL	NULL	NULL	Fermé	2016-11-15 14:05:12
BEA	BEA-355	Story	NULL	NULL	NULL	Fermé	2016-11-15 14:05:09
BEA	BEA-1066	Story	NULL	NULL	NULL	Fermé	2016-10-26 18:48:46
BEA	BEA-1067	Story	NULL	NULL	NULL	Fermé	2016-10-26 18:48:37
BEA	BEA-1068	Story	NULL	NULL	NULL	Fermé	2016-10-26 18:48:29
BEA	BEA-1069	Story	NULL	NULL	NULL	Nouveau	2016-09-09 11:05:15
BEA	BEA-1070	Story	NULL	NULL	NULL	Nouveau	2016-09-09 11:04:22
WEB	WEB-226	Story	NULL	NULL	NULL	Nouveau	2016-12-20 10:10:35
WEB	WEB-227	Bogue	NULL	NULL	NULL	Nouveau	2017-02-15 09:03:58
BOA	BOA-1199	Bogue	2016-10-03 11:45:39	NULL	NULL	Fermé	2016-12-05 15:20:37
BEA	BEA-356	Bogue	NULL	NULL	NULL	Fermé	2016-09-09 11:03:30
EXTR	EXTR-600	Story	NULL	NULL	NULL	Fermé	2016-10-05 15:47:28
WEB	WEB-228	Story	NULL	NULL	NULL	Nouveau	2016-12-20 10:10:35
EXTR	EXTR-601	Story	2016-09-15 15:51:34	2016-10-11 11:46:39	26	Fermé	2016-11-15 14:05:09
WEB	WEB-229	Bogue	NULL	NULL	NULL	Nouveau	2016-12-20 10:10:35
BEA	BEA-1071	Story	2017-02-07 09:11:43	NULL	NULL	En Affinage	2017-02-08 15:46:29
EXTR	EXTR-602	Story	2016-10-05 15:48:49	NULL	NULL	En Affinage	2017-02-15 08:58:06
BEA	BEA-1072	Bogue	NULL	NULL	NULL	Fermé	2016-11-15 14:05:13
BOA	BOA-1272	Story	2016-09-16 14:28:48	2016-11-08 09:13:14	53	Testé	2017-02-10 13:38:04
BEA	BEA-84	Story	NULL	NULL	NULL	Fermé	2016-11-15 14:05:10
BEA	BEA-85	Story	NULL	NULL	NULL	Fermé	2016-11-15 14:05:11
BEA	BEA-1073	Story	NULL	NULL	NULL	Fermé	2017-02-08 17:14:44
BEA	BEA-1074	Story	NULL	NULL	NULL	Fermé	2016-11-15 14:05:14
